 "word","cnt","feetscore","feettype" 
 ELLIOTT,3,1-0-0,mud 
 ELLIPSE,2,0-1,mud 
 ELLIPSOID,3,0-1-0,mud 
 ELLIPSOIDS,3,0-1-0,mud 
 ELLIPTICAL,4,0-1-0-0,mud 
 ELLIS,2,1-0,mud 
 ELLISON,3,1-0-0,mud 
 ELLISOR,3,1-0-0,mud 
 ELLISTON,3,1-0-0,mud 
 ELLITHORPE,3,1-0-0,mud 
 ELLMAN,2,1-0,mud 
 ELLMANN,2,1-0,mud 
 ELLNER,2,1-0,mud 
 ELLROY,2,1-2,mud 
 ELLS,1,1,mud 
 ELLSBERG,2,1-0,mud 
 ELLSBURG,2,1-0,mud 
 ELLSWORTH,2,1-0,mud 
 ELLWANGER,3,1-0-0,mud 
 ELLWOOD,2,1-2,mud 
 ELLY,2,1-0,mud 
 ELLYN,2,1-0,mud 
 ELLYSON,3,1-0-0,mud 
 ELLZEY,2,1-0,mud 
 ELM,1,1,mud 
 ELMA,2,1-0,mud 
 ELMAN,2,1-0,mud 
 ELMENDORF,3,1-0-0,mud 
 ELMER,2,1-0,mud 
 ELMES,1,1,mud 
 ELMHURST,2,1-0,mud 
 ELMIRA,3,0-1-0,mud 
 ELMO,2,1-0,mud 
 ELMOOTAZBELL,4,0-1-2-2,mud 
 ELMOOTAZBELLAH,5,0-2-2-1-0,mud 
 ELMORE,2,1-0,mud 
 ELMQUIST,2,1-2,mud 
 ELMS,1,1,mud 
 ELMSFORD,2,1-0,mud 
 ELMWOOD,2,1-2,mud 
 ELNA,2,0-1,mud 
 ELNORA,3,0-1-0,mud 
 ELNORE,2,0-1,mud 
 ELNOZAHY,4,2-1-1-0,mud 
 ELOCUTION,4,2-0-1-0,mud 
 ELOCUTIONS,4,2-0-1-0,mud 
 ELOISA,3,0-1-0,mud 
 ELOISE,2,0-1,mud 
 ELOMMAL,3,0-1-0,mud 
 ELONGATE,3,0-1-0,mud 
 ELONGATED,4,0-1-0-0,mud 
 ELONGATION,4,2-0-1-0,mud 
 ELOPE,2,0-1,mud 
 ELOPED,2,0-1,mud 
 ELOPES,2,0-1,mud 
 ELOQUENCE,3,1-0-0,mud 
 ELOQUENT,3,1-0-0,mud 
 ELOQUENTLY,4,1-0-0-0,mud 
 ELOUISE,3,1-0-2,mud 
 ELOY,2,1-0,mud 
 ELPERS,2,1-0,mud 
 ELRICA,3,1-0-0,mud 
 ELRICH,2,1-0,mud 
 ELRICK,2,1-0,mud 
 ELROD,2,0-1,mud 
 ELRON,2,1-0,mud 
 ELROY,2,0-1,mud 
 ELS,1,1,mud 
 ELSA,2,1-0,mud 
 ELSAS,2,1-0,mud 
 ELSASSER,3,1-0-0,mud 
 ELSBERRY,3,1-2-0,mud 
 ELSBURY,3,1-2-0,mud 
 ELSDON,2,1-0,mud 
 ELSE,1,1,mud 
 ELSEA,3,1-0-0,mud 
 ELSEN,2,1-0,mud 
 ELSER,2,1-0,mud 
 ELSES,2,1-0,mud 
 ELSESSER,3,1-0-0,mud 
 ELSEVIER,3,0-1-0,mud 
 ELSEWHERE,2,1-2,mud 
 ELSEY,2,1-0,mud 
 ELSIE,2,1-0,mud 
 ELSINORE,3,1-0-2,mud 
 ELSNER,2,1-0,mud 
 ELSON,2,1-0,mud 
 ELSTAD,2,1-0,mud 
 ELSTER,2,1-0,mud 
 ELSTON,2,0-1,mud 
 ELSWICK,2,1-2,mud 
 ELSWORTH,2,1-2,mud 
 ELTING,2,1-0,mud 
 ELTON,2,1-0,mud 
 ELTRINGHAM,3,1-0-0,mud 
 ELTZROTH,2,1-0,mud 
 ELUCIDATE,4,0-1-0-2,mud 
 ELUCIDATED,5,0-1-0-2-0,mud 
 ELUCIDATIVE,5,0-1-0-2-0,mud 
 ELUDE,2,0-1,mud 
 ELUDED,3,0-1-0,mud 
 ELUDES,2,0-1,mud 
 ELUDING,3,0-1-0,mud 
 ELUSIVE,3,0-1-0,mud 
 ELUSIVENESS,4,0-1-0-0,mud 
 ELVA,2,1-0,mud 
 ELVERA,3,0-1-0,mud 
 ELVERS,2,1-0,mud 
 ELVES,1,1,mud 
 ELVGREN,2,1-0,mud 
 ELVIA,3,1-0-0,mud 
 ELVIE,2,1-0,mud 
 ELVIN,2,1-0,mud 
 ELVINA,3,0-1-0,mud 
 ELVING,2,1-0,mud 
 ELVINGTON,3,1-0-0,mud 
 ELVIRA,3,0-1-0,mud 
 ELVIRE,2,1-2,mud 
 ELVIS,2,1-0,mud 
 ELVY,2,1-0,mud 
 ELWAY,2,1-2,mud 
 ELWELL,2,0-1,mud 
 ELWIN,2,1-0,mud 
 ELWOOD,2,1-2,mud 
 ELXSI,2,1-0,mud 
 ELY,2,1-0,mud 
 ELYN,2,1-0,mud 
 ELYRIA,4,0-1-0-0,mud 
 ELYSE,2,1-0,mud 
 ELYSEE,3,1-0-2,mud 
 ELYSEES,3,1-0-2,mud 
 ELYSIA,4,0-1-0-0,mud 
 ELYSIUM,4,0-1-0-0,mud 
 ELZA,2,1-0,mud 
 ELZEY,2,1-0,mud 
 ELZINGA,3,0-1-0,mud 
 ELZY,2,1-0,mud 
 EM,1,1,mud 
 EMA,2,1-0,mud 
 EMACIATE,4,0-1-0-2,mud 
 EMACIATED,5,0-1-0-2-0,mud 
 EMACIATES,4,0-1-0-2,mud 
 EMACIATING,5,0-1-0-2-0,mud 
 EMACS,2,1-2,mud 
 EMAD,2,1-0,mud 
 EMAIL,2,0-1,mud 
 EMAILED,2,0-1,mud 
 EMAILING,3,0-1-0,mud 
 EMAILS,2,0-1,mud 
 EMANATE,3,1-0-2,mud 
 EMANATED,4,1-0-2-0,mud 
 EMANATES,3,1-0-0,mud 
 EMANATING,4,1-0-2-0,mud 
 EMANATION,4,2-0-1-0,mud 
 EMANATIONS,4,2-0-1-0,mud 
 EMANCIPATE,4,0-1-0-2,mud 
 EMANCIPATED,5,0-1-0-2-0,mud 
 EMANCIPATES,4,0-1-0-2,mud 
 EMANCIPATING,5,0-1-0-2-0,mud 
 EMANCIPATION,5,0-2-0-1-0,mud 
 EMANCIPATIONS,5,0-2-0-1-0,mud 
 EMANUEL,4,0-1-0-0,mud 
 EMANUELE,5,0-0-0-1-0,mud 
 EMANUELSON,4,0-1-0-0,mud 
 EMARD,2,1-0,mud 
 EMASCULATE,4,0-1-0-0,mud 
 EMASCULATED,5,0-1-0-2-0,mud 
 EMBALM,2,0-1,mud 
 EMBALMED,2,0-1,mud 
 EMBALMING,3,0-1-0,mud 
 EMBANKMENT,3,0-1-0,mud 
 EMBANKMENTS,3,0-1-0,mud 
 EMBARCADERO,5,0-2-0-1-0,mud 
 EMBARGO,3,0-1-0,mud 
 EMBARGOED,3,0-1-0,mud 
 EMBARGOES,3,0-1-0,mud 
 EMBARK,2,0-1,mud 
 EMBARKATION,4,2-0-1-0,mud 
 EMBARKED,2,0-1,mud 
 EMBARKING,3,0-1-0,mud 
 EMBARKS,2,0-1,mud 
 EMBARRASS,3,0-1-0,mud 
 EMBARRASSED,3,0-1-0,mud 
 EMBARRASSES,4,0-1-0-0,mud 
 EMBARRASSING,4,0-1-0-0,mud 
 EMBARRASSINGLY,5,0-1-0-0-0,mud 
 EMBARRASSMENT,4,0-1-0-0,mud 
 EMBARRASSMENTS,4,0-1-0-0,mud 
 EMBASSIES,3,1-0-0,mud 
 EMBASSY,3,1-0-0,mud 
 EMBATTLE,3,0-1-0,mud 
 EMBATTLED,3,0-1-0,mud 
 EMBAYMENT,3,0-1-0,mud 
 EMBED,2,0-1,mud 
 EMBEDDED,3,0-1-0,mud 
 EMBEDDING,3,0-1-0,mud 
 EMBELLISH,3,0-1-0,mud 
 EMBELLISHED,3,0-1-0,mud 
 EMBELLISHES,4,0-1-0-0,mud 
 EMBELLISHING,4,0-1-0-0,mud 
 EMBELLISHMENT,4,0-1-0-0,mud 
 EMBER,2,1-0,mud 
 EMBERS,2,1-0,mud 
 EMBERSON,3,1-0-0,mud 
 EMBERTON,3,0-1-0,mud 
 EMBEZZLE,3,0-1-0,mud 
 EMBEZZLED,3,0-1-0,mud 
 EMBEZZLEMENT,4,0-1-0-0,mud 
 EMBEZZLER,4,0-1-0-0,mud 
 EMBEZZLERS,4,0-1-0-0,mud 
 EMBEZZLES,3,0-1-0,mud 
 EMBEZZLING,4,0-1-0-0,mud 
 EMBITTER,3,0-1-0,mud 
 EMBITTERED,3,0-1-0,mud 
 EMBLAZON,3,0-1-0,mud 
 EMBLAZONED,3,0-1-0,mud 
 EMBLEM,2,1-0,mud 
 EMBLEMATIC,4,2-0-1-0,mud 
 EMBLEMS,2,1-0,mud 
 EMBLER,2,1-0,mud 
 EMBLETON,3,1-0-0,mud 
 EMBODIED,3,0-1-0,mud 
 EMBODIES,3,0-1-0,mud 
 EMBODIMENT,4,0-1-0-0,mud 
 EMBODY,3,0-1-0,mud 
 EMBODYING,4,0-1-0-0,mud 
 EMBOLDEN,3,0-1-0,mud 
 EMBOLDENED,3,0-1-0,mud 
 EMBOLISM,4,1-0-2-0,mud 
 EMBOLISMS,4,1-0-2-0,mud 
 EMBOSS,2,0-1,mud 
 EMBOSSED,2,0-1,mud 
 EMBRACE,2,0-1,mud 
 EMBRACEABLE,4,0-1-0-0,mud 
 EMBRACED,2,0-1,mud 
 EMBRACES,3,0-1-0,mud 
 EMBRACING,3,0-1-0,mud 
 EMBREE,2,0-1,mud 
 EMBREY,2,1-0,mud 
 EMBROIDER,3,0-1-0,mud 
 EMBROIDERED,3,0-1-0,mud 
 EMBROIDERER,4,0-1-0-0,mud 
 EMBROIDERERS,4,0-1-0-0,mud 
 EMBROIDERIES,4,0-1-0-0,mud 
 EMBROIDERING,4,0-1-0-0,mud 
 EMBROIDERY,4,0-1-0-0,mud 
 EMBROIL,2,0-1,mud 
 EMBROILED,2,0-1,mud 
 EMBROSE,2,1-0,mud 
 EMBRY,2,1-0,mud 
 EMBRYO,3,1-0-2,mud 
 EMBRYOLOGY,5,2-0-1-0-0,mud 
 EMBRYONIC,4,2-0-1-0,mud 
 EMBRYOS,3,1-0-2,mud 
 EMBURY,3,1-2-0,mud 
 EMCEE,2,1-1,mud 
 EMCH,1,1,mud 
 EMCO,2,1-0,mud 
 EMDE,1,1,mud 
 EMDR,4,1-1-1-1,mud 
 EMEL,2,1-0,mud 
 EMELDA,3,0-1-0,mud 
 EMELIE,3,1-0-0,mud 
 EMELINA,4,2-0-1-0,mud 
 EMELINE,3,1-0-2,mud 
 EMELITA,4,0-0-1-0,mud 
 EMELYNE,3,1-0-0,mud 
 EMENS,2,1-0,mud 
 EMERA,3,0-1-0,mud 
 EMERALD,2,1-0,mud 
 EMERALDS,2,1-0,mud 
 EMERANT,3,0-1-0,mud 
 EMERAUDE,3,1-0-2,mud 
 EMERGE,2,0-1,mud 
 EMERGED,2,0-1,mud 
 EMERGENCE,3,0-1-0,mud 
 EMERGENCIES,4,0-1-0-0,mud 
 EMERGENCY,4,0-1-0-0,mud 
 EMERGENT,3,0-1-0,mud 
 EMERGES,3,0-1-0,mud 
 EMERGING,3,0-1-0,mud 
 EMERICH,3,1-0-0,mud 
 EMERICK,3,1-0-0,mud 
 EMERINE,3,1-0-2,mud 
 EMERITUS,4,0-1-0-0,mud 
 EMERSE,2,0-1,mud 
 EMERSED,2,0-1,mud 
 EMERSON,3,1-0-0,mud 
 EMERT,2,1-0,mud 
 EMERTON,3,0-1-0,mud 
 EMERY,3,1-0-0,mud 
 EMERYVILLE,4,1-0-0-2,mud 
 EMETIC,3,0-1-0,mud 
 EMFINGER,3,1-0-0,mud 
 EMGE,1,1,mud 
 EMHART,2,1-2,mud 
 EMICK,2,1-0,mud 
 EMIG,2,1-0,mud 
 EMIGH,2,1-0,mud 
 EMIGRANT,3,1-0-0,mud 
 EMIGRANTS,3,1-0-0,mud 
 EMIGRATE,3,1-0-2,mud 
 EMIGRATED,4,1-0-2-0,mud 
 EMIGRATES,3,1-0-2,mud 
 EMIGRATING,4,1-0-2-0,mud 
 EMIGRATION,4,2-0-1-0,mud 
 EMIGRATIONS,4,2-0-1-0,mud 
 EMIGRE,3,1-0-2,mud 
 EMIGRES,3,1-0-2,mud 
 EMIL,2,0-1,mud 
 EMILE,2,0-1,mud 
 EMILIA,4,0-1-0-0,mud 
 EMILIE,3,1-0-0,mud 
 EMILIO,4,0-1-0-0,mud 
 EMILO,3,0-1-0,mud 
 EMILY,3,1-0-0,mud 
 EMINA,3,0-1-0,mud 
 EMINASE,4,2-0-1-0,mud 
 EMINEM,3,2-0-1,mud 
 EMINENCE,3,1-0-0,mud 
 EMINENCES,4,1-0-0-0,mud 
 EMINENT,3,1-0-0,mud 
 EMINENTLY,4,1-0-0-0,mud 
 EMIR,2,0-1,mud 
 EMIRATE,3,1-0-0,mud 
 EMIRATES,3,1-0-0,mud 
 EMISON,3,1-0-0,mud 
 EMISSARIES,4,1-0-2-0,mud 
 EMISSARY,4,1-0-2-0,mud 
 EMISSION,3,0-1-0,mud 
 EMISSIONS,3,0-1-0,mud 
 EMIT,2,0-1,mud 
 EMITS,2,0-1,mud 
 EMITTED,3,0-1-0,mud 
 EMITTER,3,0-1-0,mud 
 EMITTING,3,0-1-0,mud 
 EMLER,2,1-0,mud 
 EMLEY,2,1-0,mud 
 EMLING,2,1-0,mud 
 EMLYN,2,0-1,mud 
 EMLYNNE,2,0-1,mud 
 EMMA,2,1-0,mud 
 EMMALINE,4,0-0-1-0,mud 
 EMMANUEL,4,0-1-0-0,mud 
 EMMANUELLE,4,0-1-0-2,mud 
 EMMAUS,2,1-0,mud 
 EMME,1,1,mud 
 EMMEL,2,1-0,mud 
 EMMELINE,3,1-0-2,mud 
 EMMENDORFER,4,1-0-0-0,mud 
 EMMER,2,1-0,mud 
 EMMERICH,3,1-0-0,mud 
 EMMERLING,3,1-0-0,mud 
 EMMERSON,3,1-0-0,mud 
 EMMERT,2,1-0,mud 
 EMMERY,3,1-0-0,mud 
 EMMET,2,1-0,mud 
 EMMETT,2,1-0,mud 
 EMMI,2,1-0,mud 
 EMMICK,2,1-0,mud 
 EMMIE,2,1-0,mud 
 EMMINGER,3,1-0-0,mud 
 EMMIS,2,1-0,mud 
 EMMIT,2,1-0,mud 
 EMMITT,2,1-0,mud 
 EMMONS,2,1-0,mud 
 EMMOTT,2,1-0,mud 
 EMMY,2,1-0,mud 
 EMMYS,2,1-0,mud 
 EMO,2,1-2,mud 
 EMOGENE,3,1-0-0,mud 
 EMOND,2,1-0,mud 
 EMORY,3,1-0-0,mud 
 EMOTICON,4,0-1-0-2,mud 
 EMOTION,3,0-1-0,mud 
 EMOTIONAL,4,0-1-0-0,mud 
 EMOTIONALISM,6,0-1-0-0-2-0,mud 
 EMOTIONALLY,4,0-1-0-0,mud 
 EMOTIONS,3,0-1-0,mud 
 EMOTIVE,3,0-1-0,mud 
 EMPANEL,3,0-1-0,mud 
 EMPANELED,3,0-1-0,mud 
 EMPANELING,4,0-1-0-0,mud 
 EMPATH,2,1-2,mud 
 EMPATHETIC,4,2-0-1-0,mud 
 EMPATHIZE,3,1-0-2,mud 
 EMPATHY,3,1-0-0,mud 
 EMPEROR,3,1-0-0,mud 
 EMPERORS,3,1-0-0,mud 
 EMPEY,2,1-0,mud 
 EMPHASES,3,1-0-2,mud 
 EMPHASIS,3,1-0-0,mud 
 EMPHASIZE,3,1-0-2,mud 
 EMPHASIZED,3,1-0-2,mud 
 EMPHASIZES,4,1-0-2-0,mud 
 EMPHASIZING,4,1-0-2-0,mud 
 EMPHATIC,3,0-1-0,mud 
 EMPHATICALLY,5,0-1-0-0-0,mud 
 EMPHYSEMA,4,2-0-1-0,mud 
 EMPIE,2,1-0,mud 
 EMPIRE,3,1-0-0,mud 
 EMPIRES,3,1-0-0,mud 
 EMPIRICAL,4,2-1-0-0,mud 
 EMPIRICALLY,5,0-1-0-0-0,mud 
 EMPIRICISM,5,0-1-0-2-0,mud 
 EMPIRICIST,4,0-1-0-0,mud 
 EMPLACEMENT,3,0-1-0,mud 
 EMPLACEMENTS,3,0-1-0,mud 
 EMPLOY,2,0-1,mud 
 EMPLOYABLE,4,0-1-0-0,mud 
 EMPLOYED,2,0-1,mud 
 EMPLOYEE,3,0-1-0,mud 
 EMPLOYEES,3,0-1-0,mud 
 EMPLOYER,3,0-1-0,mud 
 EMPLOYERS,3,0-1-0,mud 
 EMPLOYING,3,0-1-0,mud 
 EMPLOYMENT,3,0-1-0,mud 
 EMPLOYMENTS,3,0-1-0,mud 
 EMPLOYS,2,0-1,mud 
 EMPORIA,4,0-1-0-0,mud 
 EMPORIUM,4,2-1-0-0,mud 
 EMPOWER,3,0-1-0,mud 
 EMPOWERED,3,0-1-0,mud 
 EMPOWERING,4,0-1-0-0,mud 
 EMPOWERMENT,4,0-1-0-0,mud 
 EMPOWERS,3,0-1-0,mud 
 EMPRESA,3,0-1-0,mud 
 EMPRESAS,3,0-1-0,mud 
 EMPRESS,2,1-0,mud 
 EMPRISE,2,0-1,mud 
 EMPSON,2,1-0,mud 
 EMPT,1,1,mud 
 EMPTED,2,1-0,mud 
 EMPTIED,2,1-0,mud 
 EMPTIER,3,1-0-0,mud 
 EMPTIES,2,1-0,mud 
 EMPTINESS,3,1-0-0,mud 
 EMPTING,2,1-0,mud 
 EMPTION,2,1-0,mud 
 EMPTIVE,2,1-0,mud 
 EMPTOR,2,1-0,mud 
 EMPTS,1,1,mud 
 EMPTY,2,1-0,mud 
 EMPTYING,3,1-0-0,mud 
 EMRICH,2,1-0,mud 
 EMRICK,2,1-0,mud 
 EMRY,2,1-0,mud 
 EMSLIE,3,1-0-0,mud 
 EMSWILER,3,1-2-0,mud 
 EMU,2,1-2,mud 
 EMUIL,3,1-0-2,mud 
 EMULATE,3,1-0-2,mud 
 EMULATED,4,1-0-2-0,mud 
 EMULATES,3,1-0-2,mud 
 EMULATING,4,1-0-2-0,mud 
 EMULATION,4,2-0-1-0,mud 
 EMULEX,3,1-0-0,mud 
 EMULSIFIER,5,0-1-0-2-0,mud 
 EMULSION,3,0-1-0,mud 
 EN,1,1,mud 
 ENA,2,1-0,mud 
 ENABLE,3,0-1-0,mud 
 ENABLED,3,0-1-0,mud 
 ENABLER,4,0-1-0-0,mud 
 ENABLES,3,0-1-0,mud 
 ENABLING,4,0-1-0-0,mud 
 ENACT,2,0-1,mud 
 ENACTED,3,0-1-0,mud 
 ENACTING,3,0-1-0,mud 
 ENACTMENT,3,0-1-0,mud 
 ENACTMENTS,3,2-1-0,mud 
 ENACTS,2,2-1,mud 
 ENAMEL,3,0-1-0,mud 
 ENAMELED,3,0-1-0,mud 
 ENAMELS,3,0-1-0,mud 
 ENAMOR,3,0-1-0,mud 
 ENAMORED,3,0-1-0,mud 
 ENAMORING,4,0-1-0-0,mud 
 ENAMORS,3,0-1-0,mud 
 ENASA,3,0-1-0,mud 
 ENBERG,2,1-0,mud 
 ENCAMP,2,0-1,mud 
 ENCAMPED,2,0-1,mud 
 ENCAMPMENT,3,0-1-0,mud 
 ENCAMPMENTS,3,0-1-0,mud 
 ENCAPSULATE,4,0-1-0-2,mud 
 ENCAPSULATED,5,0-1-0-2-0,mud 
 ENCAPSULATING,5,0-1-0-2-0,mud 
 ENCARNACION,4,0-2-0-1,mud 
 ENCARTA,3,0-1-2,mud 
 ENCASE,2,0-1,mud 
 ENCASED,2,0-1,mud 
 ENCATA,3,0-1-2,mud 
 ENCEPHALITIS,5,0-2-0-1-0,mud 
 ENCEPHALOPATHY,6,0-2-0-1-0-0,mud 
 ENCHANT,2,0-1,mud 
 ENCHANTED,3,0-1-0,mud 
 ENCHANTER,3,0-1-0,mud 
 ENCHANTERS,3,0-1-0,mud 
 ENCHANTING,3,0-1-0,mud 
 ENCHANTMENT,3,0-1-0,mud 
 ENCHILADA,4,0-0-1-0,mud 
 ENCINAS,3,1-0-0,mud 
 ENCINIAS,4,0-0-1-0,mud 
 ENCINO,3,0-1-0,mud 
 ENCIRCLE,3,0-1-0,mud 
 ENCIRCLED,3,0-1-0,mud 
 ENCIRCLEMENT,4,0-1-0-0,mud 
 ENCIRCLING,4,0-1-0-0,mud 
 ENCISO,3,0-1-0,mud 
 ENCK,1,1,mud 
 ENCLAVE,2,1-2,mud 
 ENCLAVES,2,1-2,mud 
 ENCLOSE,2,0-1,mud 
 ENCLOSED,2,0-1,mud 
 ENCLOSING,3,0-1-0,mud 
 ENCLOSURE,3,0-1-0,mud 
 ENCLOSURES,3,0-1-0,mud 
 ENCODE,2,0-1,mud 
 ENCODED,3,0-1-0,mud 
 ENCODING,3,0-1-0,mud 
 ENCOMIUM,4,0-1-2-0,mud 
 ENCOMIUMS,4,0-1-2-0,mud 
 ENCOMPASS,3,0-1-0,mud 
 ENCOMPASSED,3,0-1-0,mud 
 ENCOMPASSES,4,0-1-0-0,mud 
 ENCOMPASSING,4,0-1-0-0,mud 
 ENCOR,2,1-2,mud 
 ENCORE,2,1-2,mud 
 ENCORES,2,1-2,mud 
 ENCOUNTER,3,0-1-0,mud 
 ENCOUNTERED,3,0-1-0,mud 
 ENCOUNTERING,4,0-1-0-0,mud 
 ENCOUNTERS,3,0-1-0,mud 
 ENCOURAGE,3,0-1-0,mud 
 ENCOURAGED,3,0-1-0,mud 
 ENCOURAGEMENT,4,0-1-0-0,mud 
 ENCOURAGES,4,0-1-0-0,mud 
 ENCOURAGING,4,0-1-0-0,mud 
 ENCROACH,2,0-1,mud 
 ENCROACHED,2,0-1,mud 
 ENCROACHES,3,0-1-0,mud 
 ENCROACHING,3,0-1-0,mud 
 ENCROACHMENT,3,0-1-0,mud 
 ENCROACHMENTS,3,0-1-0,mud 
 ENCRUST,2,0-1,mud 
 ENCRUSTED,3,0-1-0,mud 
 ENCRUSTING,3,0-1-0,mud 
 ENCRYPT,2,0-1,mud 
 ENCRYPTED,3,0-1-0,mud 
 ENCRYPTION,3,0-1-0,mud 
 ENCUMBER,3,0-1-0,mud 
 ENCUMBERED,3,0-1-0,mud 
 ENCYCLICAL,4,0-1-0-0,mud 
 ENCYCLICALS,4,0-1-0-0,mud 
 ENCYCLOPAEDIA,6,0-2-0-1-0-0,mud 
 ENCYCLOPEDIA,6,0-2-0-1-0-0,mud 
 ENCYCLOPEDIAS,6,0-2-0-1-0-0,mud 
 ENCYCLOPEDIC,5,0-2-0-1-0,mud 
 ENCYCLOPEDIST,5,0-2-0-1-0,mud 
 END,1,1,mud 
 ENDAKA,3,0-1-0,mud 
 ENDANGER,3,0-1-0,mud 
 ENDANGERED,3,0-1-0,mud 
 ENDANGERING,4,0-1-0-0,mud 
 ENDANGERMENT,4,0-1-0-0,mud 
 ENDANGERS,3,0-1-0,mud 
 ENDARA,3,1-1-0,mud 
 ENDE,1,1,mud 
 ENDEAR,2,0-1,mud 
 ENDEARED,2,0-1,mud 
 ENDEARING,3,0-1-0,mud 
 ENDEARMENT,3,0-1-0,mud 
 ENDEAVOR,3,0-1-0,mud 
 ENDEAVORED,3,0-1-0,mud 
 ENDEAVORING,4,0-1-0-0,mud 
 ENDEAVORS,3,0-1-0,mud 
 ENDEAVOUR,3,0-1-0,mud 
 ENDED,2,1-0,mud 
 ENDELMAN,3,1-0-0,mud 
 ENDEMIC,3,0-1-0,mud 
 ENDER,2,1-0,mud 
 ENDERBY,3,1-0-0,mud 
 ENDERLE,3,1-0-0,mud 
 ENDERLIN,3,1-0-0,mud 
 ENDERS,2,1-0,mud 
 ENDERSON,3,1-0-0,mud 
 ENDEVCO,3,0-1-0,mud 
 ENDGAME,2,1-0,mud 
 ENDGAMES,2,1-0,mud 
 ENDICOTT,3,1-0-2,mud 
 ENDING,2,1-0,mud 
 ENDINGS,2,1-0,mud 
 ENDIVE,2,1-0,mud 
 ENDLER,2,1-0,mud 
 ENDLESS,2,1-0,mud 
 ENDLESSLY,3,1-0-0,mud 
 ENDLICH,2,1-0,mud 
 ENDO,2,1-0,mud 
 ENDOCRINE,3,1-0-2,mud 
 ENDOCRINOLOGIST,6,2-0-0-1-0-0,mud 
 ENDOCRINOLOGISTS,6,2-0-0-1-0-0,mud 
 ENDOCRINOLOGY,6,2-0-0-1-0-0,mud 
 ENDODERMAL,4,2-0-1-0,mud 
 ENDOGENOUS,4,2-1-0-0,mud 
 ENDOMETRIAL,5,2-0-1-0-0,mud 
 ENDOMETRIOSIS,6,2-0-2-0-1-0,mud 
 ENDORPHIN,3,0-1-0,mud 
 ENDORPHINS,3,0-1-0,mud 
 ENDORSE,2,0-1,mud 
 ENDORSED,2,0-1,mud 
 ENDORSEMENT,3,0-1-0,mud 
 ENDORSEMENTS,3,0-1-0,mud 
 ENDORSER,3,0-1-0,mud 
 ENDORSERS,3,0-1-0,mud 
 ENDORSES,3,0-1-0,mud 
 ENDORSING,3,0-1-0,mud 
 ENDOSCOPE,3,1-0-2,mud 
 ENDOSCOPIC,4,2-0-1-0,mud 
 ENDOSCOPY,4,2-1-0-0,mud 
 ENDOSPERM,3,1-0-2,mud 
 ENDOTHELIAL,5,2-0-1-2-0,mud 
 ENDOTHERMIC,4,2-0-1-0,mud 
 ENDOTRONICS,4,2-0-1-0,mud 
 ENDOW,2,0-1,mud 
 ENDOWED,2,0-1,mud 
 ENDOWING,3,0-1-0,mud 
 ENDOWMENT,3,0-1-0,mud 
 ENDOWMENTS,3,0-1-0,mud 
 ENDOWS,2,0-1,mud 
 ENDPOINT,2,1-2,mud 
 ENDPOINTS,2,1-2,mud 
 ENDPRODUCT,3,1-2-0,mud 
 ENDPRODUCTS,3,1-2-0,mud 
 ENDRES,2,1-0,mud 
 ENDRESS,2,1-0,mud 
 ENDRIZZI,3,0-1-0,mud 
 ENDS,1,1,mud 
 ENDSLEY,2,1-0,mud 
 ENDTIMER,3,1-0-0,mud 
 ENDTIMERS,3,1-0-0,mud 
 ENDUED,2,0-1,mud 
 ENDURANCE,3,1-0-0,mud 
 ENDURE,2,0-1,mud 
 ENDURED,2,0-1,mud 
 ENDURES,2,0-1,mud 
 ENDURING,3,0-1-0,mud 
 ENDUSER,3,1-2-0,mud 
 ENDUSERS,3,1-2-0,mud 
 ENDY,2,1-0,mud 
 ENEA,3,1-0-0,mud 
 ENEMA,3,1-0-0,mud 
 ENEMAS,3,1-0-0,mud 
 ENEMIES,3,1-0-0,mud 
 ENEMY,3,1-0-0,mud 
 ENERGAS,3,1-0-2,mud 
 ENERGEN,3,1-0-2,mud 
 ENERGETIC,4,2-0-1-0,mud 
 ENERGETICALLY,5,2-0-1-0-0,mud 
 ENERGIES,3,1-0-0,mud 
 ENERGIZE,3,1-0-2,mud 
 ENERGIZED,3,1-0-2,mud 
 ENERGIZER,4,1-0-2-0,mud 
 ENERGIZES,4,1-0-2-0,mud 
 ENERGIZING,4,1-0-2-0,mud 
 ENERGY,3,1-0-0,mud 
 ENERSON,3,1-0-0,mud 
 ENEX,2,1-0,mud 
 ENFANT,2,1-2,mud 
 ENFEEBLE,3,0-1-0,mud 
 ENFEEBLED,3,0-1-0,mud 
 ENFIELD,2,1-0,mud 
 ENFINGER,3,1-0-0,mud 
 ENFOLD,2,0-1,mud 
 ENFOR,2,1-0,mud 
 ENFORCE,2,0-1,mud 
 ENFORCEABILITY,6,0-2-0-1-0-0,mud 
 ENFORCEABLE,4,0-1-0-0,mud 
 ENFORCED,2,0-1,mud 
 ENFORCEMENT,3,0-1-0,mud 
 ENFORCEMENTS,3,0-1-0,mud 
 ENFORCER,3,0-1-0,mud 
 ENFORCERS,3,0-1-0,mud 
 ENFORCES,3,0-1-0,mud 
 ENFORCING,3,0-1-0,mud 
 ENFRANCHISE,3,0-1-2,mud 
 ENFRANCHISED,3,0-1-2,mud 
 ENFRANCHISES,4,0-1-2-0,mud 
 ENG,1,1,mud 
 ENGAGE,2,0-1,mud 
 ENGAGED,2,0-1,mud 
