 "word","cnt","feetscore","feettype" 
 REVALUED,3,0-1-0,mud 
 REVALUING,4,0-1-0-0,mud 
 REVAMP,2,0-1,mud 
 REVAMPED,2,0-1,mud 
 REVAMPING,3,0-1-0,mud 
 REVAMPS,2,0-1,mud 
 REVARD,2,0-1,mud 
 REVCO,2,1-0,mud 
 REVEAL,2,0-1,mud 
 REVEALED,2,0-1,mud 
 REVEALING,3,0-1-0,mud 
 REVEALS,2,0-1,mud 
 REVEILLE,3,1-0-2,mud 
 REVEL,2,1-0,mud 
 REVELATION,4,2-0-1-0,mud 
 REVELATIONS,4,2-0-1-0,mud 
 REVELATORY,5,0-1-0-2-0,mud 
 REVELED,2,1-0,mud 
 REVELER,3,1-0-0,mud 
 REVELERS,3,1-0-0,mud 
 REVELES,3,0-1-0,mud 
 REVELING,3,1-0-0,mud 
 REVELL,2,0-1,mud 
 REVELLE,2,0-1,mud 
 REVELLER,3,1-0-0,mud 
 REVELLERS,3,1-0-0,mud 
 REVELLO,3,0-1-0,mud 
 REVELRY,3,1-0-0,mud 
 REVELS,2,1-0,mud 
 REVENGE,2,0-1,mud 
 REVENUE,3,1-0-2,mud 
 REVENUER,4,1-0-2-0,mud 
 REVENUERS,4,1-0-2-0,mud 
 REVENUES,3,1-0-2,mud 
 REVERB,2,0-1,mud 
 REVERBED,2,0-1,mud 
 REVERBERATE,4,0-1-0-0,mud 
 REVERBERATED,5,0-1-0-2-0,mud 
 REVERBERATES,4,0-1-0-2,mud 
 REVERBERATING,5,0-1-0-2-0,mud 
 REVERBERATION,5,0-2-0-1-0,mud 
 REVERBERATIONS,5,0-2-0-1-0,mud 
 REVERCOMB,3,1-0-0,mud 
 REVERE,2,0-1,mud 
 REVERED,2,0-1,mud 
 REVERENCE,3,1-0-0,mud 
 REVEREND,3,1-0-0,mud 
 REVERENT,3,1-0-0,mud 
 REVERENTIAL,4,2-0-1-0,mud 
 REVERENTLY,4,1-0-0-0,mud 
 REVERES,2,0-1,mud 
 REVERIE,3,1-0-0,mud 
 REVERIES,3,1-0-0,mud 
 REVERING,3,0-1-0,mud 
 REVERON,3,1-0-2,mud 
 REVERSAL,3,0-1-0,mud 
 REVERSALS,3,0-1-0,mud 
 REVERSE,2,0-1,mud 
 REVERSED,2,0-1,mud 
 REVERSER,3,0-1-0,mud 
 REVERSERS,3,0-1-0,mud 
 REVERSES,3,0-1-0,mud 
 REVERSIBLE,4,0-1-0-0,mud 
 REVERSING,3,0-1-0,mud 
 REVERSION,3,0-1-0,mud 
 REVERT,2,0-1,mud 
 REVERTED,3,0-1-0,mud 
 REVERTING,3,0-1-0,mud 
 REVERTS,2,0-1,mud 
 REVES,1,1,mud 
